locale,ID,name,descr
de,100,Klassische Antike,Literarische Werke aus dem antiken Griechenland und Rom (8. Jh. v. Chr. - 5. Jh. n. Chr.)
de,110,Mittelalterliche Literatur,Literarische Werke des Mittelalters (5. - 15. Jahrhundert)
de,120,Renaissance,Literarische Wiederbelebung und Humanismus (14. - 17. Jahrhundert)
de,130,Barock,Ornamentaler und dramatischer Literaturstil (17. Jahrhundert)
de,140,Klassizismus,Rückkehr zu klassischen Idealen und Ordnung (17. - 18. Jahrhundert)
de,150,Aufklärung,Zeitalter der Vernunft und intellektuellen Revolution (18. Jahrhundert)
de,160,Romantik,Emotion über Vernunft und Individualismus (spätes 18. - Mitte 19. Jahrhundert)
de,170,Realismus,Genaue Darstellung des alltäglichen Lebens (Mitte 19. Jahrhundert)
de,180,Naturalismus,Wissenschaftlicher Ansatz zur Literatur (spätes 19. Jahrhundert)
de,190,Symbolismus,Verwendung von Symbolen zur Ausdruckung von Ideen und Emotionen (spätes 19. Jahrhundert)
de,200,Moderne,Experimentelle Formen und Ablehnung der Tradition (frühes 20. Jahrhundert)
de,210,Postmoderne,Hinterfragung großer Narrative und Realität (Mitte-spätes 20. Jahrhundert)
de,220,Zeitgenössisch,Aktuelle literarische Bewegungen (21. Jahrhundert)
de,230,Viktorianisches Zeitalter,Britische Literatur während der Herrschaft von Königin Victoria (1837-1901)
de,240,Beat Generation,Amerikanische Gegenkultur-Literaturebewegung (1950er Jahre)
de,250,Harlem Renaissance,Afroamerikanische kulturelle Wiederbelebung (1920er-1930er Jahre)
de,260,Verlorene Generation,Desillusion nach dem Ersten Weltkrieg (1920er Jahre)
de,270,Magischer Realismus,Fantastische Elemente in realistischen Umgebungen (20. Jahrhundert)
es,100,Antigüedad Clásica,Obras literarias de la antigua Grecia y Roma (siglo VIII a.C. - siglo V d.C.)
es,110,Literatura Medieval,Obras literarias de la Edad Media (siglos V - XV)
es,120,Renacimiento,Renacimiento literario y humanismo (siglos XIV - XVII)
es,130,Barroco,Estilo literario ornamental y dramático (siglo XVII)
es,140,Neoclasicismo,Regreso a los ideales clásicos y el orden (siglos XVII - XVIII)
es,150,Ilustración,Era de la razón y revolución intelectual (siglo XVIII)
es,160,Romanticismo,Emoción sobre razón e individualismo (finales siglo XVIII - mediados XIX)
es,170,Realismo,Representación precisa de la vida cotidiana (mediados del siglo XIX)
es,180,Naturalismo,Enfoque científico de la literatura (finales del siglo XIX)
es,190,Simbolismo,Uso de símbolos para expresar ideas y emociones (finales del siglo XIX)
es,200,Modernismo,Formas experimentales y rechazo de la tradición (principios del siglo XX)
es,210,Posmodernismo,Cuestionamiento de grandes narrativas y realidad (mediados-finales siglo XX)
es,220,Contemporáneo,Movimientos literarios actuales (siglo XXI)
es,230,Era Victoriana,Literatura británica durante el reinado de la Reina Victoria (1837-1901)
es,240,Generación Beat,Movimiento literario de contracultura americana (años 1950)
es,250,Renacimiento de Harlem,Renacimiento cultural afroamericano (años 1920-1930)
es,260,Generación Perdida,Desilusión posterior a la Primera Guerra Mundial (años 1920)
es,270,Realismo Mágico,Elementos fantásticos en entornos realistas (siglo XX)
fr,100,Antiquité Classique,Œuvres littéraires de la Grèce et de la Rome antiques (VIIIe siècle av. J.-C. - Ve siècle apr. J.-C.)
fr,110,Littérature Médiévale,Œuvres littéraires du Moyen Âge (Ve - XVe siècle)
fr,120,Renaissance,Renaissance littéraire et humanisme (XIVe - XVIIe siècle)
fr,130,Baroque,Style littéraire orné et dramatique (XVIIe siècle)
fr,140,Néoclassicisme,Retour aux idéaux classiques et à l'ordre (XVIIe - XVIIIe siècle)
fr,150,Siècle des Lumières,Âge de la raison et révolution intellectuelle (XVIIIe siècle)
fr,160,Romantisme,Émotion plutôt que raison et individualisme (fin XVIIIe - milieu XIXe siècle)
fr,170,Réalisme,Représentation précise de la vie quotidienne (milieu XIXe siècle)
fr,180,Naturalisme,Approche scientifique de la littérature (fin XIXe siècle)
fr,190,Symbolisme,Utilisation de symboles pour exprimer idées et émotions (fin XIXe siècle)
fr,200,Modernisme,Formes expérimentales et rejet de la tradition (début XXe siècle)
fr,210,Postmodernisme,Remise en question des grands récits et de la réalité (milieu-fin XXe siècle)
fr,220,Contemporain,Mouvements littéraires actuels (XXIe siècle)
fr,230,Époque Victorienne,Littérature britannique sous le règne de la Reine Victoria (1837-1901)
fr,240,Beat Generation,Mouvement littéraire de contre-culture américaine (années 1950)
fr,250,Renaissance de Harlem,Renaissance culturelle afro-américaine (années 1920-1930)
fr,260,Génération Perdue,Désillusion post-Première Guerre mondiale (années 1920)
fr,270,Réalisme Magique,Éléments fantastiques dans des cadres réalistes (XXe siècle)