code,name,descr
AU,Australia,Commonwealth of Australia
AT,Austria,Republic of Austria
BE,Belgium,Kingdom of Belgium
BR,Brazil,Federative Republic of Brazil
CA,Canada,Canada
CH,Switzerland,Swiss Confederation
CN,China,People's Republic of China
DE,Germany,Federal Republic of Germany
ES,Spain,Kingdom of Spain
FR,France,French Republic
GB,United Kingdom,United Kingdom of Great Britain and Northern Ireland
IN,India,Republic of India
IT,Italy,Italian Republic
JP,Japan,Japan
MX,Mexico,United Mexican States
NL,Netherlands,Kingdom of the Netherlands
NO,Norway,Kingdom of Norway
RU,Russia,Russian Federation
SE,Sweden,Kingdom of Sweden
US,United States,United States of America